,LossValues
344,0.020353735649093454
345,0.020384498090217158
346,0.019925744671906744
347,0.021198753966018558
348,0.02084775672327461
349,0.02041358401766047
350,0.018778078316245228
351,0.019231446968790675
352,0.018956041761807034
353,0.02074087375409103
354,0.01854182707445164
355,0.019226719957909415
356,0.01996693790923538
357,0.019121573023897196
358,0.019437830986654654
359,0.02053619523732258
360,0.019479365703383728
361,0.018767611082044562
362,0.01849311583542398
363,0.019405124659117843
364,0.019898950454912016
365,0.019356378162878433
366,0.018577195521044945
367,0.01832669065333903
368,0.01935017271898687
369,0.018491847823107883
370,0.018504402508759604
371,0.018139688273160055
372,0.017950635062464113
373,0.01807219671484615
374,0.020270055226449455
375,0.017738394447535808
376,0.017018528854740516
377,0.01880119977119778
378,0.018961606630390242
379,0.017948349937796593
380,0.017205671972728202
381,0.017981781058811715
382,0.01875857578124851
383,0.017741808401686803
384,0.017664503356042718
385,0.016713091704462255
386,0.016925054319602038
387,0.016465278891181306
388,0.017514589749875346
389,0.01719295630131715
390,0.01684850943690565
391,0.018810358696750233
392,0.017409312197872038
393,0.0187001270824112
394,0.016821644742906625
395,0.016622699730630432
396,0.01733741194142827
397,0.017521978938020766
398,0.01737266148640109
399,0.016941389127168804
400,0.017843432233868434
401,0.018687182929300303
402,0.018129530429307903
403,0.01720349712663197
404,0.01728070789249614
405,0.016258899488353303
406,0.016080440188358937
407,0.017831088251633837
408,0.01675169382776533
409,0.016349069424904883
410,0.015502007461951248
411,0.01554623308142514
412,0.01655849999847955
413,0.016463320020453205
414,0.018037558333682164
415,0.017102867664237107
416,0.01616352190363354
417,0.016326707754550234
418,0.01686762345655422
419,0.01626058349419119
420,0.01599070043136765
421,0.015572529785068972
422,0.016949269729333798
423,0.015272203550141836
424,0.016006928693968803
425,0.015051178667428238
426,0.015442339794909847
427,0.015598715507491891
428,0.016435498039105108
429,0.0164265064522624
430,0.01690951522739072
431,0.015573886115037437
432,0.015609216310882143
433,0.0172939480648243
434,0.01571271403892232
435,0.015309541843765016
436,0.016446869396271983
437,0.015440528355871461
438,0.015222003675132458
439,0.015865166621681834
440,0.01600877455036555
441,0.01597066005758409
442,0.01601106336706185
443,0.015535307175014168
444,0.014705289812159858
445,0.01581584947416559
446,0.015645217973672385
447,0.015283618471585214
448,0.014555102330632508
449,0.015173725526048136
450,0.015546728549192526
451,0.014594128355383873
452,0.015199949274704392
453,0.014103035895719327
454,0.015579769296372043
455,0.01527310797246173
456,0.015103765655242438
457,0.014802723299778466
458,0.013766976297899549
459,0.01505459364437099
460,0.014497223559633962
461,0.014953760197386146
462,0.014771404509831752
463,0.014874648427524204
464,0.014671248317297016
465,0.014645100554584392
466,0.014103257987049542
467,0.01498067587713844
468,0.015147602060876255
469,0.014424590726516076
470,0.014433811044520033
471,0.014864016257758652
472,0.015120871597900987
473,0.013974789646454155
474,0.01501738725762282
475,0.013798417111891987
476,0.013409891323785164
477,0.014465602622034826
478,0.014327023020346783
479,0.014753677832361842
480,0.014946225132527096
481,0.014425462178353752
482,0.014320196775120817
483,0.014743657541527812
484,0.013472747739537485
485,0.013638643947030817
486,0.013666353770531714
487,0.01407322910381481
488,0.01459939353766718
489,0.0137961309685904
490,0.012937248027550854
491,0.014252421512667621
492,0.013620290506098951
493,0.01360831267499764
494,0.013904830382671207
495,0.014515104828335876
496,0.014091227964464841
497,0.015816512708884796
498,0.013900893025233277
499,0.01249103931643601
500,0.013928081757122917
501,0.013293762354546093
502,0.012776615351737877
503,0.013098816961116557
504,0.013349207051630532
505,0.013286072577882026
506,0.01393170645626794
507,0.012789160004883473
508,0.013340317943532552
509,0.013589813398929047
510,0.012906436168123037
511,0.013876022928993084
512,0.013315384633772607
