,RunNumber,Staves,Rows,PedestalValue
177,293533,6C,M1T,0.4542866181588105
178,293533,6C,M2B,0.518190446061373
179,293533,6C,M2T,0.48750395444479594
180,293533,6C,M3B,0.5267320468206264
181,293533,6C,M3T,0.530528313824739
182,293533,6C,M4B,0.536222714330908
183,293533,6C,M4T,0.5105979120531478
184,293533,6C,S1B,0.463460930085416
185,293533,6C,S1T,0.45839924074659916
186,293533,6C,S2B,0.4789623536855425
187,293533,6C,S2T,0.5086997785510914
188,293533,6C,S3B,0.4979436887061056
189,293533,6C,S3T,0.47010439734261306
190,293533,6C,S4B,0.47010439734261306
191,293533,6C,S4T,0.47010439734261306
192,293533,7A,M1B,0.46440999683644413
193,293533,7A,M1T,0.45839924074659916
194,293533,7A,M2B,0.44542866181588103
195,293533,7A,M2T,0.5431825371717811
196,293533,7A,M3B,0.4495412844036697
197,293533,7A,M3T,0.4640936412527681
198,293533,7A,M4B,0.5226194242328377
199,293533,7A,M4T,0.5352736475798797
200,293533,7A,S1B,0.46314457450173996
201,293533,7A,S1T,0.45839924074659916
202,293533,7A,S2B,0.4580828851629231
203,293533,7A,S2T,0.4587155963302752
204,293533,7A,S3B,0.47548244226510594
205,293533,7A,S3T,0.4982600442897817
206,293533,7A,S4B,0.4982600442897817
207,293533,7A,S4T,0.4982600442897817
208,293533,7C,M1B,0.45839924074659916
209,293533,7C,M1T,0.43657070547295157
210,293533,7C,M2B,0.4922492881999367
211,293533,7C,M2T,0.5086997785510914
212,293533,7C,M3B,0.5273647579879784
213,293533,7C,M3T,0.5397026257513445
214,293533,7C,M4B,0.5276811135716545
215,293533,7C,M4T,0.5112306232204998
216,293533,7C,S1B,0.457450173995571
217,293533,7C,S1T,0.4378361278076558
218,293533,7C,S2B,0.4504903511546979
219,293533,7C,S2T,0.4580828851629231
220,293533,7C,S3B,0.5162923125593166
221,293533,7C,S3T,0.487820310028472
222,293533,7C,S4B,0.487820310028472
223,293533,7C,S4T,0.487820310028472
224,293533,8A,M1B,0.4868712432774438
225,293533,8A,M1T,0.4384688389750079
226,293533,8A,M2B,0.4153748813666561
227,293533,8A,M2T,0.45839924074659916
228,293533,8A,M3B,0.44542866181588103
229,293533,8A,M3T,0.4786459981018665
230,293533,8A,M4B,0.46093008541600755
231,293533,8A,M4T,0.3764631445745017
232,293533,8A,S1B,0.45839924074659916
233,293533,8A,S1T,0.45839924074659916
234,293533,8A,S2B,0.4587155963302752
235,293533,8A,S2T,0.5020563112938943
236,293533,8A,S3B,0.40968048086048714
237,293533,8A,S3T,0.3799430559949383
238,293533,8A,S4B,0.3799430559949383
239,293533,8A,S4T,0.3799430559949383
240,293533,8C,M1B,0.45839924074659916
241,293533,8C,M1T,0.3793103448275862
242,293533,8C,M2B,0.4950964884530212
243,293533,8C,M2T,0.5260993356532743
244,293533,8C,M3B,0.4928819993672888
245,293533,8C,M3T,0.5030053780449225
246,293533,8C,M4B,0.5346409364125276
247,293533,8C,M4T,0.5156596013919645
248,293533,8C,S1B,0.43530528313824735
249,293533,8C,S1T,0.45839924074659916
250,293533,8C,S2B,0.49731097753875353
251,293533,8C,S2T,0.5289465359063588
252,293533,8C,S3B,0.5387535590003163
253,293533,8C,S3T,0.5444479595064853
254,293533,8C,S4B,0.5444479595064853
255,293533,8C,S4T,0.5444479595064853
256,297288,1A,M1B,0.42454919329326163
257,297288,1A,M1T,0.3793103448275862
258,297288,1A,M2B,0.48402404302435936
259,297288,1A,M2T,0.46187915216703573
